t,PR1,T1,R1,PR3,T3,R3,PR2,T2,R2,PR4,T4,R4,P,E2,E1,E3,E4
1479340800,2554.66,16.392,8.892,2365.4,16.549,7.21,2604.56,12.856,17.251,2845.14,14.037,66.07,15.829,7920.47,8135.02,7847.52,7974.43
1479297600,2554.33,16.438,8.867,2365.03,16.597,7.183,2602.71,12.941,17.11,2845.44,14.044,66.105,15.893,7919.15,8134.59,7847.24,7974.28
1479254400,2553.75,16.484,8.822,2364.46,16.646,7.142,2605.19,12.864,17.299,2843.97,14.124,65.934,15.986,7917.25,8133.68,7846.97,7973.49
1479211200,2553.83,16.526,8.829,2364.39,16.694,7.137,2601.32,13.033,17.003,2843.73,14.123,65.906,16.065,7914.99,8132.14,7846.04,7972.07
1479168000,2553.23,16.57,8.784,2363.72,16.743,7.089,2600.42,13.078,16.935,2842.76,14.198,65.794,16.157,7913.32,8130.8,7844.64,7970.12
1479124800,2552.63,16.615,8.738,2363.02,16.797,7.038,2598.83,13.15,16.813,2842.73,14.216,65.791,16.137,7912.44,8130.26,7843.66,7969.36
1479081600,2551.57,16.666,8.656,2361.88,16.855,6.956,2602.01,13.057,17.056,2843.74,14.23,65.909,16.085,7912.04,8130.49,7843.47,7969.46
1479038400,2550.75,16.725,8.593,2360.9,16.922,6.885,2599.32,13.16,16.85,2844.9,14.215,66.045,16.02,7911.1,8129.93,7843.4,7968.98
1478995200,2549.01,16.793,8.459,2359.19,16.995,6.761,2605.29,12.97,17.306,2845.91,14.221,66.163,16.036,7908.42,8128.54,7842.08,7967
1478952000,2547.93,16.868,8.376,2358.08,17.075,6.68,2605.78,12.97,17.343,2846.83,14.22,66.271,16.006,7906.14,8127.56,7841.21,7965.86
1478908800,2546.58,16.949,8.272,2356.82,17.155,6.589,2609.52,12.876,17.628,2848.77,14.179,66.497,16.005,7903.34,8126.74,7839.94,7964.55
1478865600,2546.14,17.029,8.24,2356.4,17.233,6.559,2607.18,13.009,17.449,2847.1,14.267,66.303,15.873,7901.89,8126.66,7840.28,7965.27
1478822400,2545.46,17.108,8.188,2355.88,17.309,6.522,2607.17,13.089,17.447,2849.28,14.239,66.557,15.903,7898.69,8125.72,7839.78,7964.33
1478779200,2545.4,17.181,8.185,2355.95,17.379,6.528,2603.38,13.271,17.158,2854.02,14.061,67.109,15.837,7896.04,8124.72,7839.46,7963.86
1478736000,2545.33,17.247,8.181,2355.94,17.443,6.528,2601.32,13.405,17,2847.95,14.163,66.401,16.036,7892.5,8123.21,7838.63,7961.77
1478692800,2546.23,17.302,8.252,2356.65,17.499,6.58,2595.13,13.676,16.527,2820.72,14.825,63.225,15.774,7889.96,8119.93,7837.85,7960.79
1478649600,2546.32,17.351,8.26,2356.6,17.554,6.577,2590.17,13.903,16.147,2818.21,14.88,62.932,15.684,7887.62,8117.71,7836.5,7958.73
1478606400,2545.9,17.404,8.228,2356.08,17.612,6.54,2585.69,14.078,15.805,2819.36,14.902,63.067,15.63,7885.73,8116.48,7835.5,7957
1478563200,2544.93,17.459,8.154,2355.15,17.672,6.473,2588.65,13.987,16.031,2817.12,14.918,62.805,15.651,7883.05,8114.91,7833.72,7954.53
1478520000,2544.74,17.513,8.14,2354.78,17.731,6.446,2588.34,14.038,16.007,2806.05,15.087,61.512,15.496,7882.11,8113.56,7833.33,7954.18
1478476800,2544.32,17.566,8.108,2354.26,17.792,6.409,2587.54,14.077,15.946,2806.51,15.118,61.567,15.516,7880.42,8112.79,7832.53,7953.07
1478433600,2544.05,17.617,8.088,2353.81,17.852,6.377,2585.86,14.166,15.817,2801.44,15.204,60.975,15.502,7879.43,8111.5,7831.81,7952.19
1478390400,2543.52,17.67,8.048,2353.04,17.917,6.321,2584.16,14.255,15.687,2802.27,15.14,61.071,15.631,7877.64,8110.11,7829.97,7950.19
1478347200,2542.59,17.733,7.977,2351.89,17.99,6.238,2582.94,14.308,15.594,2792.91,15.543,59.982,15.433,7877.89,8109.91,7829.83,7951.18
1478304000,2540.64,17.81,7.826,2349.94,18.076,6.096,2587.75,14.148,15.961,2799.58,15.364,60.759,15.519,7876.34,8110.03,7829.6,7950.65
1478260800,2539.01,17.898,7.701,2348.26,18.171,5.975,2589.66,14.097,16.107,2796.15,15.486,60.36,15.393,7874.38,8108.76,7829.44,7950.65
1478217600,2536.86,17.998,7.535,2346.24,18.272,5.828,2596.02,13.906,16.592,2802.45,15.278,61.094,15.579,7870.42,8107.25,7828.47,7948.58
1478174400,2535.75,18.103,7.451,2345.08,18.378,5.745,2595.6,13.962,16.559,2792.57,15.578,59.942,15.473,7866.99,8104.93,7827.86,7947.9
1478131200,2534.38,18.211,7.346,2343.72,18.485,5.646,2597.42,13.959,16.698,2794.96,15.523,60.221,15.639,7861.8,8102.38,7826.54,7945.21
