t,PR1,T1,R1,PR3,T3,R3,PR2,T2,R2,PR4,T4,R4,P,E2,E1,E3,E4
1465516800,2568.83,18.901,10.047,2385.26,19.474,8.688,2434.03,22.267,4.197,2591.04,20.151,36.433,-11.07,7765.51,8086.2,7854.23,7951.57
1465171200,2569.01,18.499,10.053,2385.28,19.096,8.686,2465.16,20.877,6.576,2634.88,19.062,41.545,-10.761,7780.68,8092.34,7857.72,7955.05
1465128000,2569.81,18.45,10.114,2385.97,19.052,8.736,2460.55,21.009,6.225,2636.08,19.052,41.685,-10.804,7783.45,8093.85,7858.65,7955.93
1465084800,2569.81,18.409,10.114,2385.94,19.017,8.734,2460.11,20.985,6.192,2639.57,18.973,42.093,-10.795,7785.42,8094.9,7859.07,7956.37
1465041600,2568.96,18.386,10.047,2385.35,18.99,8.69,2465.25,20.746,6.585,2642.12,18.92,42.39,-10.913,7787.37,8096.46,7860.19,7957.89
1464998400,2568.59,18.361,10.018,2385.1,18.959,8.672,2478.26,20.294,7.578,2646.89,18.709,42.945,-10.75,7787.25,8096.3,7860.08,7957.83
1464955200,2569.76,18.325,10.108,2386.38,18.921,8.765,2471.56,20.524,7.067,2645.41,18.771,42.772,-10.765,7788.33,8097.8,7861.03,7958.98
1464912000,2570.66,18.28,10.177,2387.36,18.874,8.836,2473.46,20.467,7.211,2647.29,18.689,42.991,-10.613,7789.23,8098.49,7861.6,7959.34
1464868800,2572.28,18.225,10.303,2388.94,18.821,8.951,2465.7,20.73,6.619,2639.42,19.018,42.076,-10.648,7791.45,8099.11,7862.2,7960.2
1464825600,2573.11,18.168,10.366,2389.7,18.769,9.006,2464.08,20.764,6.495,2644.81,18.847,42.703,-10.55,7792.98,8099.88,7862.36,7960.04
1464782400,2573.47,18.108,10.393,2390.09,18.719,9.033,2463.33,20.741,6.439,2644.07,18.917,42.618,-10.621,7795.19,8100.94,7863.01,7960.92
1464739200,2573.52,18.058,10.396,2390.21,18.667,9.042,2471.84,20.424,7.089,2653.68,18.496,43.736,-10.506,7796.68,8101.64,7862.77,7960.51
1464696000,2574.64,17.998,10.482,2391.21,18.615,9.114,2467.46,20.553,6.755,2645.27,18.821,42.757,-10.646,7800.01,8102.65,7863.02,7961.78
1464652800,2574.89,17.941,10.5,2391.32,18.569,9.122,2468.78,20.464,6.856,2649.99,18.696,43.308,-10.678,7802.88,8104.27,7864.07,7962.94
1464609600,2574.65,17.893,10.481,2391.04,18.531,9.101,2469.23,20.387,6.891,2654.62,18.608,43.848,-10.708,7805.1,8105.55,7865,7963.94
1464566400,2573.83,17.855,10.416,2390.13,18.502,9.034,2480.53,19.966,7.754,2662.59,18.299,44.776,-10.512,7805.34,8105.05,7864.58,7963.2
1464523200,2573.53,17.833,10.392,2389.82,18.481,9.011,2480.02,19.942,7.715,2666.25,18.219,45.202,-10.519,7806.1,8106.16,7865.15,7963.96
1464480000,2572.86,17.765,10.338,2389.03,18.469,8.954,2488.29,19.657,8.347,2670.1,18.062,45.651,-10.389,7806.26,8106.02,7865.26,7964.14
1464436800,2572.23,17.764,10.289,2388.5,18.468,8.915,2485.64,19.727,8.145,2671.78,18.031,45.847,-10.348,7806.31,8107.07,7866.39,7965.48
1464393600,2570.55,17.796,10.159,2387.09,18.477,8.812,2498.1,19.316,9.096,2675.67,17.866,46.3,-10.079,7805.22,8106.21,7866.62,7965.49
1464350400,2569.63,17.801,10.087,2386.76,18.482,8.788,2491.56,19.621,8.595,2670.76,18.021,45.727,-9.976,7806.24,8105.31,7866.57,7965.69
1464307200,2565.37,17.805,9.755,2384.13,18.468,8.596,2484.67,20.011,8.068,2668.16,18.178,45.426,-9.937,7850.92,8108.06,7868.68,7965.91
1464264000,2568.01,17.781,9.961,2386.83,18.434,8.793,2475.79,20.174,7.391,2659.29,18.411,44.392,-9.92,7845.62,8109.4,7869.21,7966.9
1464220800,2572.29,17.723,10.293,2390.38,18.372,9.052,2469.79,20.244,6.935,2653.59,18.453,43.724,-9.875,7826.19,8111,7868.98,7967.53
1464177600,2577.85,17.65,10.725,2394.99,18.306,9.387,2465.34,20.444,6.595,2649.95,18.58,43.301,-9.883,7812.39,8112.45,7868.78,7968.42
1464134400,2579.33,17.579,10.84,2396.18,18.245,9.474,2464.32,20.46,6.517,2650.83,18.566,43.403,-9.849,7812.72,8113.02,7869.04,7969.64
1464091200,2579.26,17.516,10.832,2396.15,18.189,9.471,2466.38,20.315,6.675,2647.1,18.862,42.971,-10.02,7816.91,8114.71,7870.91,7972.38
1464048000,2579.09,17.454,10.818,2396.2,18.131,9.474,2478.64,19.848,7.611,2668.92,18.042,45.512,-9.559,7817.92,8115.35,7870.19,7970.88
1464004800,2580.46,17.383,10.924,2397.37,18.072,9.558,2471.24,20.071,7.047,2658.5,18.53,44.3,-9.724,7821.52,8116.55,7871.53,7972.97
1463961600,2580.53,17.323,10.928,2397.3,18.016,9.553,2477.52,19.806,7.527,2678.48,17.905,46.629,-9.413,7823.25,8117.51,7871.64,7972.32
1463918400,2581.06,17.259,10.968,2397.67,17.964,9.58,2475.96,19.808,7.408,2679.58,17.875,46.757,-9.333,7825.97,8118.29,7872.37,7973.01
1463875200,2580.79,17.203,10.946,2397.26,17.917,9.549,2484,19.486,8.023,2688.5,17.548,47.795,-9.021,7827.35,8118.1,7872.04,7971.96
1463832000,2581.08,17.15,10.967,2397.33,17.876,9.553,2483.65,19.446,7.996,2683.87,17.74,47.257,-9.042,7830.56,8118.55,7872.14,7972.93
1463788800,2580.39,17.106,10.913,2396.52,17.847,9.494,2488.25,19.238,8.348,2692.72,17.448,48.289,-8.831,7832.46,8118.82,7872.12,7972.58
1463745600,2579.57,17.085,10.849,2395.54,17.834,9.423,2490.61,19.086,8.529,2691.51,17.497,48.147,-8.776,7834.65,8119.23,7872.73,7973.64
1463702400,2577.9,17.082,10.718,2393.92,17.831,9.305,2505.07,18.529,9.633,2697.43,17.282,48.836,-8.598,7834.29,8118.96,7872.54,7973.63
1463659200,2577.53,17.077,10.689,2393.71,17.823,9.289,2513.88,18.219,10.306,2696.64,17.343,48.745,-8.503,7834.31,8119.16,7873.11,7974.58
1463616000,2578.75,17.055,10.784,2394.95,17.803,9.379,2512.82,18.293,10.225,2698.31,17.254,48.939,-8.313,7833.34,8119.09,7873.08,7974.52
1463572800,2580.22,17.046,10.898,2396.3,17.782,9.478,2500.82,18.726,9.309,2691.1,17.553,48.1,-8.301,7835.19,8119.93,7873.7,7975.63
1463529600,2580.18,17.055,10.895,2396.14,17.768,9.466,2497.27,18.822,9.037,2695.92,17.344,48.661,-8.106,7836.33,8120.41,7873.92,7975.55
1463486400,2578.91,16.957,10.794,2394.9,17.772,9.375,2500.68,18.644,9.299,2694.4,17.454,48.484,-8.075,7837.92,8120.71,7874.55,7976.71
1463443200,2577.31,16.969,10.67,2393.38,17.783,9.265,2513.07,18.193,10.245,2701,17.174,49.253,-7.83,7837.22,8120.46,7874.47,7976.4
1463400000,2576.83,16.982,10.633,2393.1,17.793,9.244,2515.72,18.095,10.447,2689.57,17.743,47.924,-8.016,7836.89,8120.45,7875.79,7978.74
1463356800,2576.54,16.999,10.61,2392.98,17.798,9.235,2522.64,17.887,10.975,2723.04,16.448,51.821,-7.44,7832.69,8121.13,7875.34,7976.65
1463313600,2578.13,16.997,10.734,2394.56,17.795,9.351,2510.23,18.357,10.027,2707.78,17.022,50.044,-7.582,7832.17,8121.36,7876.35,7978.08
1463270400,2578.41,16.994,10.756,2394.95,17.788,9.379,2513.29,18.279,10.26,2718.76,16.521,51.32,-7.199,7829.93,8121.7,7876.32,7977.3
1463227200,2579.77,16.983,10.862,2396.21,17.777,9.471,2504.91,18.594,9.621,2704.47,16.964,49.655,-7.137,7829.3,8121.48,7876.53,7977.46
1463184000,2579.87,16.976,10.87,2396.41,17.768,9.485,2504.56,18.606,9.594,2700.54,17.065,49.197,-7.047,7829.26,8121.69,7877.13,7977.99
1463140800,2580,16.968,10.88,2396.7,17.757,9.506,2504.96,18.593,9.624,2699.38,17.102,49.062,-6.891,7828.73,8121.84,7877.84,7978.16
1463097600,2580.37,16.953,10.908,2397.19,17.737,9.542,2508.5,18.488,9.894,2694.95,17.229,48.546,-6.721,7827.43,8120.71,7876.52,7976.78
1463054400,2581.75,16.936,11.015,2398.61,17.71,9.646,2500.91,18.775,9.315,2689.92,17.428,47.96,-6.812,7828.8,8122.15,7876.45,7977.52
1463011200,2582.75,16.9,11.092,2399.59,17.681,9.717,2496.75,18.927,8.997,2687.75,17.496,47.707,-7.006,7832.42,8125.28,7878.46,7980.85
1462968000,2583.04,16.875,11.115,2399.8,17.665,9.732,2488.53,19.182,8.37,2688.13,17.522,47.753,-6.977,7834.41,8127.27,7880.37,7982.85
1462924800,2581.49,16.869,10.993,2398.35,17.661,9.626,2500.29,18.732,9.268,2700.96,17.061,49.247,-6.698,7833.07,8127.11,7880.65,7982.17
1462881600,2580.61,16.883,10.926,2397.75,17.662,9.582,2501.86,18.65,9.388,2704.86,16.941,49.7,-6.611,7831.87,8127.73,7881.34,7982.7
1462838400,2579.89,16.892,10.869,2397.42,17.655,9.558,2515.63,18.184,10.44,2709.34,16.711,50.221,-6.3,7828.97,8127.2,7881.13,7982.08
1462795200,2581.79,16.878,11.017,2399.55,17.629,9.713,2507.64,18.538,9.829,2700.15,16.931,49.149,-6.238,7828.35,8128.26,7881.79,7982.99
1462752000,2583.41,16.844,11.143,2401.34,17.588,9.844,2499.06,18.875,9.173,2692.71,17.186,48.283,-6.152,7829.17,8129.6,7882.97,7984.17
1462708800,2584.99,16.796,11.265,2403.05,17.537,9.968,2488.16,19.273,8.341,2693.88,17.134,48.419,-5.964,7830.09,8131.08,7883.94,7984.69
1462665600,2586.05,16.755,11.347,2404.27,17.477,10.056,2484.1,19.404,8.031,2692.33,17.119,48.237,-5.743,7831.26,8131.28,7884.13,7984.37
1462622400,2587.55,16.683,11.462,2405.72,17.411,10.162,2480.22,19.529,7.735,2679.36,17.599,46.728,-5.762,7833.51,8131.71,7884.74,7985.25
1462579200,2588.27,16.605,11.517,2406.56,17.342,10.222,2480.46,19.479,7.754,2680.21,17.531,46.825,-5.677,7835.51,8132.51,7884.92,7985.4
1462536000,2589.5,16.541,11.612,2407.75,17.269,10.309,2478.67,19.514,7.617,2678.19,17.619,46.591,-5.712,7838.93,8134,7885.63,7986.67
1462492800,2590.81,16.445,11.712,2408.8,17.197,10.384,2476.72,19.544,7.468,2677.33,17.624,46.49,-5.762,7841.71,8135.39,7885.88,7987.35
1462449600,2591.47,16.389,11.763,2409.32,17.134,10.422,2475.8,19.511,7.399,2675.59,17.73,46.288,-5.95,7845.57,8137.64,7887.6,7989.8
1462406400,2591.13,16.329,11.735,2409.03,17.08,10.4,2485.22,19.129,8.119,2684.5,17.473,47.327,-5.963,7846.8,8138.75,7888.25,7990.73
1462363200,2590.99,16.285,11.723,2409.05,17.026,10.401,2494.01,18.767,8.79,2685.11,17.514,47.399,-6.133,7848.26,8139.38,7889.28,7992.23
1462320000,2591.74,16.202,11.78,2409.83,16.97,10.457,2495.74,18.709,8.923,2690.02,17.268,47.969,-6.062,7849.3,8139.92,7889.42,7992.09
1462276800,2592.59,16.166,11.846,2410.79,16.914,10.527,2490.14,18.855,8.495,2679.22,17.783,46.713,-6.33,7852.12,8141.13,7890.84,7994.58
1462233600,2592.41,16.088,11.83,2410.86,16.858,10.531,2496.6,18.584,8.989,2709.44,16.552,50.23,-5.84,7851.3,8142.3,7890.48,7992.68
1462190400,2593.77,16.025,11.935,2412.36,16.789,10.64,2500.67,18.428,9.3,2690.14,17.24,47.983,-6.06,7853.45,8142.59,7890.63,7994.19
1462147200,2596.26,15.935,12.127,2414.71,16.706,10.811,2497.84,18.542,9.084,2688.32,17.265,47.77,-6.19,7856.47,8144.35,7891.66,7996.36
1462104000,2598.95,15.84,12.335,2417.03,16.622,10.979,2477.8,19.196,7.554,2685.2,17.36,47.407,-6.165,7861.17,8146.59,7893.25,7998.17
1462060800,2598.97,15.742,12.335,2416.84,16.545,10.965,2484.28,18.904,8.049,2685.65,17.358,47.459,-6.024,7864.55,8147.34,7893.41,7998.49
1462017600,2598.63,15.662,12.307,2416.42,16.482,10.933,2483.69,18.816,8.006,2675.04,18.023,46.228,-6.38,7869.53,8148.95,7894.91,8001.32
1461974400,2596.29,15.615,12.123,2414.38,16.429,10.784,2504.16,18.008,9.569,2731.1,16.306,52.761,-5.876,7870.83,8151.65,7895.74,8000.66
1461931200,2596.96,15.561,12.174,2414.95,16.381,10.825,2502.5,18.035,9.443,2722.58,16.752,51.771,-5.927,7873.16,8152.25,7897.03,8002.35
1461888000,2596.38,15.514,12.128,2414.4,16.34,10.785,2509.09,17.749,9.947,2757.66,15.56,55.858,-5.364,7872.07,8153,7896.89,8000.5
1461844800,2596.44,15.48,12.132,2414.52,16.305,10.793,2511.2,17.634,10.108,2752.57,15.743,55.265,-5.225,7872.62,8153.12,7897.42,8001.06
1461801600,2596.06,15.453,12.102,2414.38,16.271,10.782,2518.96,17.337,10.701,2755.47,15.632,55.603,-5.017,7872.29,8153.25,7897.33,8001.19
1461758400,2596.48,15.429,12.134,2415.08,16.228,10.833,2522.07,17.227,10.938,2753.72,15.687,55.398,-4.918,7873.74,8154.73,7898.73,8002.93
1461715200,2597.77,15.368,12.234,2416.53,16.171,10.938,2521.44,17.27,10.89,2751.73,15.715,55.166,-4.762,7874.46,8155.42,7899.11,8003.29
1461672000,2599.91,15.308,12.399,2418.58,16.102,11.087,2509.96,17.677,10.014,2747.32,15.858,54.653,-4.823,7876.58,8156.76,7900,8004.46
1461628800,2601.15,15.213,12.494,2419.75,16.029,11.172,2505.24,17.814,9.654,2746.99,15.861,54.613,-4.95,7878.99,8157.82,7900.52,8005.01
1461585600,2602.2,15.144,12.574,2420.76,15.953,11.245,2503.96,17.816,9.557,2749.28,15.824,54.881,-5.308,7881.39,8159.15,7901.44,8006.13
1461542400,2602.99,15.071,12.635,2421.5,15.877,11.298,2504.64,17.743,9.608,2751.33,15.725,55.12,-5.632,7883.81,8160.05,7901.94,8006.72
1461499200,2603.63,14.986,12.683,2422.17,15.801,11.347,2503.13,17.731,9.494,2750.08,15.827,54.975,-6.103,7887.12,8161.23,7903.15,8008.2
1461456000,2603.85,14.914,12.699,2422.44,15.726,11.365,2510.63,17.412,10.067,2757.42,15.487,55.829,-6.138,7889.32,8162.08,7903.19,8007.61
1461412800,2605.09,14.813,12.794,2423.56,15.65,11.446,2508.5,17.439,9.905,2754.11,15.619,55.444,-6.173,7892.62,8163,7903.61,8008.55
1461369600,2605.71,14.732,12.84,2424.06,15.579,11.482,2508.8,17.371,9.928,2753.73,15.639,55.399,-6.168,7896.25,8164.44,7904.31,8010.05
1461326400,2605.73,14.662,12.84,2424.04,15.515,11.48,2512.8,17.157,10.234,2750.69,15.795,55.046,-6.16,7899.36,8165.68,7905.39,8011.53
1461283200,2605.35,14.598,12.809,2423.73,15.457,11.457,2520.87,16.825,10.852,2756.72,15.538,55.748,-6.056,7901.15,8167.05,7905.8,8012.01
1461240000,2605.65,14.557,12.832,2424.05,15.401,11.479,2522.95,16.707,11.011,2741.77,16.286,54.009,-6.438,7904.44,8168.33,7907.62,8015.4
1461196800,2605.17,14.504,12.793,2423.76,15.347,11.458,2530.78,16.384,11.609,2797.62,14.522,60.518,-5.924,7903.86,8170.18,7907.9,8013.81
1461153600,2606.34,14.439,12.884,2424.88,15.289,11.539,2527.83,16.464,11.384,2790.56,14.788,59.695,-5.905,7905.54,8170.69,7908.5,8014.6
1461110400,2606.86,14.387,12.923,2425.46,15.231,11.581,2529.8,16.359,11.535,2791.39,14.746,59.791,-5.773,7906.97,8171.48,7908.97,8015.07
1461067200,2607.62,14.33,12.981,2426.32,15.172,11.643,2529.14,16.348,11.485,2791.3,14.785,59.782,-5.688,7908.57,8172.64,7909.86,8016.05
1461024000,2608.29,14.266,13.032,2427.04,15.109,11.695,2533.61,16.17,11.826,2799.06,14.461,60.685,-5.436,7909.25,8173.18,7910.17,8016
1460980800,2609.45,14.203,13.122,2428.28,15.044,11.785,2527.72,16.342,11.376,2795.52,14.605,60.273,-5.313,7911.62,8174.71,7911.42,8017.45
1460937600,2610.04,14.132,13.166,2428.92,14.973,11.831,2535.65,16.037,11.982,2799.7,14.414,60.759,-5.042,7912.41,8174.97,7911.09,8017.11
1460894400,2611.92,14.052,13.311,2430.66,14.895,11.957,2528.7,16.259,11.452,2788.11,14.886,59.41,-5.106,7915.46,8176.25,7912.53,8019.22
1460851200,2613.02,13.968,13.395,2431.71,14.817,12.033,2527.77,16.249,11.381,2796.7,14.5,60.41,-4.783,7916.6,8176.55,7912.15,8018.42
1460808000,2613.79,13.889,13.454,2432.43,14.741,12.085,2526.57,16.226,11.291,2796.35,14.532,60.369,-4.733,7920.02,8178.3,7912.99,8020.08
1460764800,2613.81,13.809,13.454,2432.56,14.667,12.093,2533.08,15.941,11.788,2797.94,14.461,60.553,-4.621,7923.04,8180.07,7914.17,8021.54
1460721600,2614.47,13.73,13.504,2433.24,14.594,12.142,2533.29,15.886,11.804,2792.52,14.722,59.924,-4.662,7926.42,8181.25,7915.61,8023.25
1460678400,2614.65,13.65,13.516,2433.48,14.518,12.159,2540.68,15.575,12.369,2801.47,14.361,60.966,-4.47,7927.65,8181.47,7915.48,8022.45
1460635200,2615.93,13.569,13.614,2434.69,14.442,12.247,2534.22,15.757,11.876,2794.02,14.683,60.099,-4.523,7930.69,8182.36,7915.79,8023.24
1460592000,2616.07,13.49,13.623,2434.85,14.366,12.258,2541.43,15.446,12.428,2802.19,14.351,61.05,-4.436,7933.37,8183.9,7916.07,8023.68
1460548800,2617.09,13.41,13.701,2435.78,14.293,12.325,2538.67,15.49,12.217,2788,15.078,59.4,-4.851,7937.63,8185.55,7917.83,8026.74
1460505600,2616.63,13.335,13.664,2435.45,14.22,12.3,2547.44,15.114,12.887,2841.34,13.534,65.617,-4.545,7938.64,8187.7,7918.11,8026.04
1460462400,2617.64,13.254,13.741,2436.34,14.147,12.364,2542.81,15.224,12.535,2840.2,13.636,65.486,-4.726,7941.54,8188.93,7919.13,8027.58
1460419200,2617.6,13.179,13.736,2436.35,14.077,12.364,2551.68,14.855,13.212,2853.67,13.197,67.056,-4.61,7943.32,8190.11,7920.11,8027.8
1460376000,2618.47,13.093,13.803,2437.16,14.01,12.423,2547.81,14.939,12.918,2854.71,13.189,67.177,-4.612,7945.21,8190.46,7920.78,8027.94
1460332800,2618.35,13.032,13.792,2437.09,13.944,12.417,2556.37,14.585,13.571,2858.45,13.038,67.613,-4.478,7946.1,8190.26,7920.01,8026.69
1460289600,2619.19,12.966,13.856,2437.86,13.881,12.472,2552.77,14.661,13.297,2853.44,13.228,67.029,-4.509,7949.23,8191.42,7920.72,8027.96
1460246400,2618.93,12.89,13.834,2437.66,13.82,12.457,2562.65,14.268,14.052,2857.53,13.075,67.505,-4.427,7951.79,8192.82,7920.92,8028.77
1460203200,2619.7,12.844,13.894,2438.34,13.764,12.507,2558.85,14.357,13.762,2848.2,13.557,66.421,-4.657,7955.32,8194.16,7922.82,8031.13
1460160000,2619.26,12.781,13.858,2437.96,13.714,12.478,2567.49,14.005,14.422,2877.49,12.624,69.834,-4.262,7955.71,8195.19,7923.13,8030.25
1460116800,2619.65,12.744,13.888,2438.34,13.67,12.505,2566.33,14.004,14.335,2875.01,12.759,69.545,-4.281,7956.65,8195.65,7923.76,8030.75
1460073600,2619.19,12.689,13.85,2438,13.627,12.48,2578.56,13.545,15.268,2884.48,12.407,70.649,-4.004,7956.61,8195.88,7923.38,8030.08
1460030400,2620.06,12.655,13.918,2438.98,13.582,12.551,2573.45,13.706,14.878,2879.79,12.59,70.102,-3.993,7958.4,8197.28,7924.25,8031.43
1459987200,2620.28,12.608,13.934,2439.31,13.531,12.575,2581.11,13.424,15.463,2885.3,12.356,70.744,-3.82,7959.33,8198.16,7924.46,8031.7
1459944000,2621.78,12.55,14.05,2440.75,13.475,12.679,2573.4,13.686,14.875,2880.91,12.516,70.233,-3.84,7961.59,8199.82,7926.33,8033.64
1459900800,2622.37,12.505,14.095,2441.41,13.418,12.727,2573.47,13.654,14.881,2886.43,12.337,70.876,-3.775,7962.71,8200.62,7926.79,8033.71
1459857600,2622.94,12.448,14.138,2442.13,13.361,12.779,2570.38,13.722,14.645,2886.8,12.329,70.918,-3.87,7964.29,8201.8,7927.62,8034.36
1459814400,2623.02,10.77,14.111,2442.55,13.3,12.809,2578.9,13.393,15.296,2890.42,12.171,71.34,-3.923,7965.49,8202.42,7927.93,8034.53
1459771200,2624.39,10.733,14.217,2444.03,13.231,12.917,2574.14,13.545,14.933,2888.04,12.273,71.063,-4.13,7967.53,8203.71,7928.99,8035.79
1459728000,2625.63,10.856,14.316,2445.3,13.155,13.008,2575.86,13.456,15.065,2890.28,12.131,71.322,-4.151,7968.88,8204.22,7929.55,8035.68
1459684800,2627.46,10.811,14.458,2447.08,13.074,13.137,2567.61,13.709,14.435,2888.25,12.214,71.086,-4.272,7970.51,8204.73,7930.06,8035.8
1459641600,2628.55,10.776,14.543,2448.11,12.987,13.212,2571.45,13.536,14.728,2887.81,12.217,71.035,-4.427,7971.87,8204.63,7929.22,8035.07
1459598400,2629.94,10.965,14.655,2449.35,12.902,13.301,2565.58,13.687,14.281,2882.64,12.487,70.435,-4.926,7975.54,8206.16,7930.07,8036.75
1459555200,2629.91,11.22,14.658,2449.37,12.821,13.302,2572.55,13.367,14.814,2892.34,12.169,71.564,-5.379,7979.02,8208.03,7930.78,8037.67
1459512000,2630.44,11.627,14.707,2449.91,12.746,13.34,2570.96,13.347,14.693,2891.03,12.332,71.413,-5.993,7982.69,8209.7,7931.74,8039.45
1459468800,2629.91,11.613,14.665,2449.52,12.672,13.311,2584.24,12.811,15.708,2908.75,11.719,73.478,-6.154,7985.23,8211.35,7932.3,8039.78
1459425600,2630.92,11.529,14.743,2450.53,12.6,13.385,2577.23,12.991,15.173,2902.09,12.044,72.703,-6.466,7988.7,8212.57,7933.72,8041.54
1459382400,2630.41,11.453,14.701,2450.18,12.529,13.359,2589.87,12.5,16.138,2919.58,11.425,74.74,-6.308,7990.38,8213.27,7933.77,8040.81
1459339200,2631.16,11.382,14.758,2450.94,12.458,13.413,2583.57,12.645,15.658,2915.37,11.609,74.25,-6.419,7993.56,8214.06,7934.49,8041.74
1459296000,2631.37,11.31,14.773,2451.14,12.395,13.427,2591.39,12.321,16.255,2922.77,11.297,75.111,-6.243,7994.89,8214.5,7934.49,8041.33
1459252800,2631.92,11.246,14.815,2451.63,12.335,13.462,2590.82,12.275,16.213,2918.37,11.481,74.6,-6.289,7997.13,8215.14,7934.81,8042.02
1459209600,2631.92,11.175,14.814,2451.63,12.28,13.461,2600.19,11.916,16.928,2918.37,11.509,74.6,-6.326,7998.88,8215.75,7934.58,8042.38
1459166400,2632.52,11.155,14.86,2452.11,12.231,13.496,2596.97,11.971,16.683,2903.73,12.236,72.898,-6.795,8002.67,8217.55,7936.81,8045.82
1459123200,2631.25,11.115,14.76,2451.3,12.186,13.437,2609.14,11.496,17.613,2957.76,10.624,79.195,-6.302,8002.68,8219.24,7937.11,8044.43
1459080000,2631.81,11.053,14.803,2451.89,12.14,13.479,2605.73,11.578,17.353,2946.93,11.116,77.936,-6.422,8004.73,8219.45,7937.85,8045.58
1459036800,2631.79,11.019,14.8,2451.97,12.096,13.485,2613.29,11.29,17.93,2975.81,10.168,81.3,-5.969,8004.11,8219.95,7937.76,8044.29
1458993600,2632.85,11.073,14.884,2453.01,12.048,13.56,2611.76,11.326,17.814,2973.19,10.277,80.996,-5.932,8005.18,8220.42,7938.36,8045.09
1458950400,2633.45,11.025,14.93,2453.66,11.999,13.607,2612.86,11.266,17.898,2977.3,10.113,81.474,-5.743,8005.56,8220.62,7938.52,8044.84
1458907200,2634.19,10.974,14.986,2454.45,11.948,13.664,2611.6,11.28,17.802,2976.98,10.104,81.436,-5.69,8006.96,8221.2,7939.23,8045.43
1458864000,2634.71,10.958,15.027,2455.05,11.898,13.708,2613.17,11.2,17.922,2977.5,10.08,81.497,-5.641,8007.81,8221.43,7939.58,8045.54
1458820800,2635.21,10.84,15.064,2455.69,11.845,13.754,2613.64,11.153,17.959,2977.42,10.076,81.487,-5.607,8009.09,8222,7940.35,8045.85
1458777600,2635.76,10.79,15.105,2456.34,11.79,13.801,2616.46,11.034,18.174,2977.1,10.082,81.45,-5.456,8009.61,8221.86,7940.07,8045.17
1458734400,2636.62,10.707,15.171,2457.31,11.732,13.871,2614.05,11.087,17.99,2976.37,10.119,81.365,-5.395,8011.21,8222.64,7940.38,8045.75
1458691200,2637.16,10.742,15.214,2458,11.669,13.92,2616.34,10.974,18.166,2978.03,10.035,81.559,-5.318,8013.11,8223.57,7940.43,8046.33
1458648000,2637.9,10.672,15.27,2458.88,11.602,13.984,2612.68,11.066,17.886,2976.51,10.082,81.381,-5.363,8017.14,8225.55,7941.96,8048.31
1458604800,2638.76,10.579,15.335,2459.77,11.53,14.049,2615.08,10.938,18.07,2978.74,9.979,81.64,-5.327,8019.47,8226.51,7942.68,8049.22
1458561600,2639.92,10.473,15.423,2460.91,11.46,14.131,2609.04,11.098,17.61,2976.54,10.078,81.385,-5.303,8021.37,8226.81,7943.35,8049.61
1458518400,2640,10.381,15.427,2461.05,11.389,14.141,2618.76,10.707,18.352,2980.22,9.925,81.812,-5.099,8022.83,8226.98,7942.99,8048.82
1458475200,2641.22,10.288,15.521,2462.15,11.317,14.22,2613.51,10.841,17.952,2973.18,10.244,80.994,-5.09,8025.21,8227.46,7943.24,8049.52
1458432000,2641.4,10.243,15.534,2462.28,11.25,14.229,2621.52,10.507,18.564,2985.29,9.855,82.404,-4.865,8027.05,8228.36,7943.47,8049.47
1458388800,2642.13,10.229,15.591,2462.92,11.189,14.275,2616.9,10.599,18.211,2979.78,10.176,81.765,-4.91,8030.03,8229.41,7944.15,8051.03
1458345600,2641.29,10.123,15.523,2462.19,11.134,14.221,2630.11,10.071,19.221,3004.62,9.394,84.66,-4.617,8031.28,8230.61,7944.01,8050.49
1458302400,2641.72,10.042,15.555,2462.53,11.087,14.246,2627.52,10.104,19.024,3000.68,9.64,84.202,-4.692,8034.11,8231.86,7945.03,8052.29
1458259200,2641.01,9.995,15.499,2461.92,11.045,14.2,2639.49,9.639,19.938,3015,9.147,85.87,-4.536,8035.71,8233.3,7945.74,8052.79
1458216000,2641.4,9.96,15.529,2462.22,11.009,14.222,2638.01,9.649,19.826,3008.05,9.501,85.063,-4.705,8037.52,8233.87,7946.59,8053.96
1458172800,2640.67,9.923,15.471,2461.68,10.974,14.182,2647.47,9.279,20.548,3034.74,8.678,88.173,-4.444,8037.62,8234.54,7946.64,8053.02
1458129600,2640.97,9.869,15.493,2462.01,10.939,14.206,2644.45,9.355,20.318,3036.2,8.679,88.343,-4.424,8038.59,8235.01,7947.04,8053.32
1458086400,2640.69,9.817,15.47,2461.83,10.908,14.193,2653.6,9.004,21.017,3043.04,8.441,89.14,-4.278,8039.09,8235.4,7947.08,8053.1
1458043200,2641.4,9.78,15.525,2462.5,10.877,14.241,2648.38,9.173,20.618,3043.24,8.456,89.163,-4.276,8040.33,8236.1,7948,8053.98
1458000000,2641.36,9.797,15.522,2462.49,10.845,14.24,2653.46,8.967,21.007,3047.6,8.302,89.672,-4.16,8040.82,8236.32,7948.37,8053.71
1457956800,2641.72,9.756,15.55,2462.86,10.817,14.267,2648.39,9.124,20.62,3046.01,8.405,89.487,-4.14,8041.44,8236.41,7948.77,8053.74
1457913600,2641.14,9.717,15.504,2462.4,10.793,14.233,2658.82,8.73,21.416,3052.43,8.176,90.235,-3.921,8041.06,8236.28,7948.34,8052.46
